标题,地区,位置,具体位置,resblock-tag1_resblock-tag_resblock-type_resblock-tag2_resblock-tag3,均价/平方米每元,总价,类型,室厅数,面积
星河江堤春晓,南沙,明珠湾,广东省广州市南沙区凤凰大道横沥东路10号,"住宅,车位充足,人车分流,品牌房企,自持商业",33000,总价350-500(万/套),在售,"3室,4室",建面 99-133㎡
科苑壹号,南沙,南沙湾,广东省广州市南沙区南沙湾南横地铁站旁,"住宅,车位充足,绿化率高,国央企,品牌房企",24000,总价430-550(万/套),在售,4室,建面 126-165㎡
越秀江海潮鸣,南沙,明珠湾,安益路越秀江海潮鸣,"住宅,车位充足,人车分流,国央企,品牌房企",28000,总价301-520(万/套),在售,"2室,3室",建面 96-140㎡
云城上品（二期）,白云,嘉禾望岗,广东省广州市白云区新石路145号,"住宅,车位充足,绿化率高,国央企,品牌房企",37000,总价410-530(万/套),在售,"3室,4室",建面 110-143㎡
越秀·大学城·和樾府,番禺,国际创新城,兴业大道越秀·大学城·和樾府,"住宅,车位充足,绿化率高,国央企,品牌房企",55000,总价605-850(万/套),在售,"3室,4室",建面 110-160㎡
广州国际创新驱动中心,黄埔,知识城,知识城南起步区知识大道以南、永九快速路以东,"商业类,车位充足,小型社区,国央企,品牌房企",价格待定,,待售,,
越秀白云星汇城,白云,钟落潭,广龙路12号,"住宅,低单价,低总价,绿化率高,人车分流",20000,总价146-310(万/套),在售,"3室,4室",建面 74-116㎡
IN PARK星贸中心,黄埔,科学城,映日路IN PARK星贸中心,"写字楼,小型社区,国央企,品牌房企,近地铁",价格待定,,待售,,
力迅荔筑,荔湾,西场,东风西路南侧源溪大街东侧力迅荔筑,"住宅,人车分流,小型社区,品牌房企,近地铁",59000,总价448-819(万/套),在售,"3室,4室",建面 69-130㎡
合景臻溋名铸,天河,东圃,黄埔大道东合景臻溋名铸,"商业类,小型社区,品牌房企,近地铁,多轨交汇",价格待定,,待售,,
保利越秀·天启,荔湾,鹤洞,培真路保利越秀·天启,"商业类,低总价,人车分流,封闭管理,国央企",25000,总价102.5-132.5(万/套),在售,"2室,3室",建面 41-53㎡
香江天辰,增城,凤凰城,G4香江天辰,"住宅,车位充足,封闭管理,品牌房企,公交直达",15500,总价140(万/套),在售,3室,建面 79-102㎡
保利明玥湖光,增城,增城碧桂园,挂绿湖纵三路保利明玥湖光,"住宅,车位充足,人车分流,国央企,品牌房企",17000,总价133-215(万/套),在售,"2室,3室",建面 84-121㎡
招商湾区1872,南沙,东涌,庆沙路招商湾区1872,"商业类,人车分流,小型社区,国央企,品牌房企",价格待定,,待售,,
中铁阅江来,南沙,南沙区府,广东省广州市南沙区化工路,"住宅,低单价,低总价,人车分流,封闭管理",19700,总价175-315(万/套),在售,"2室,3室",建面 88-126㎡
中国铁建西派澜岸,南沙,明珠湾,合兴路56号国际金融论坛IFF永久会址相距800米,"住宅,绿色建筑,车位充足,国央企,品牌房企",30000,总价400-500(万/套),在售,3室,建面 105-261㎡
云城上品,白云,嘉禾望岗,广东省广州市白云区新石路145号,"住宅,低总价,车位充足,绿化率高,国央企",37000,总价250-380(万/套),在售,3室,建面 72-105㎡
勤诚达悦城,黄埔,,洋田路勤诚达悦城,"住宅,小型社区,品牌房企,公交直达,超市",价格待定,,待售,,
星际云汇,黄埔,香雪,广东省广州市黄埔区S117(开创大道),"商业类,国央企,近地铁,地铁沿线,小户型",价格待定,,在售,,
珠实云悦花语,白云,钟落潭,广州市白云区钟落潭镇良城三路7号距广州14号线钟落潭地铁站A出口800米处,"住宅,低单价,低总价,车位充足,绿化率高",15000,总价110-180(万/套),在售,"3室,4室",建面 70-98㎡
诚汇新都·榕诚湾,荔湾,汾水,花海路力诚榕诚湾,"住宅,绿化率高,人车分流,品牌房企,地铁沿线",42000,总价380-860(万/套),在售,"3室,4室",建面 85-165㎡
招商保利海珠天珺,海珠,黄埔村,新港东路保利海珠天珺,"商业类,车位充足,人车分流,国央企,品牌房企",30000,总价280-400(万/套),在售,"3室,4室",建面 85-137㎡
招商保利海珠天珺,海珠,黄埔村,新港东路保利海珠天珺,"底商,车位充足,人车分流,国央企,品牌房企",50000,总价330(万/套),在售,,
勤诚达悦峯,黄埔,科学城,黄登路勤诚达悦峯,"住宅,小型社区,品牌房企,公交直达,综合商场",价格待定,,待售,,
珠江天郦,天河,棠下,广州市天河区中山大道西1150号,"住宅,车位充足,人车分流,品牌房企,近地铁",85000,总价1100-1900(万/套),在售,4室,建面 129-180㎡
勤诚达悦府,黄埔,长岭居,长龙街勤诚达悦府,"住宅,小型社区,品牌房企,地铁沿线,公交直达",价格待定,,待售,,
东江逸珑湾,增城,新塘南,沿江大道39号（甘泉小学东侧）,"底商,低单价,人车分流,大型社区,品牌房企",17000,总价200(万/套),在售,,
中海麓府,白云,江夏,广云路中海麓府,"住宅,车位充足,人车分流,国央企,品牌房企",65000,总价880-1220(万/套),在售,"3室,4室",建面 126-170㎡
祈福半山臻品,番禺,祈福新村,祈福天湖一街祈福半山臻品,"住宅,低单价,车位充足,绿化率高,置换改善",30000,总价237-490(万/套),在售,"2室,3室",建面 82-145㎡
岭南V谷荔湾新天地,荔湾,广钢新城,荔信三街岭南V谷荔湾新天地,"商业类,低总价,车位充足,绿化率高,国央企",28000,总价110-250(万/套),在售,"2室,3室",建面 36-70㎡
越秀公交天悦云山府,白云,东平,白云大道北1697号,"住宅,车位充足,人车分流,国央企,品牌房企",40000,总价290-780(万/套),在售,"3室,5室",建面 90-156㎡
布查特官邸情景洋房,番禺,汉溪长隆,迎宾路锦绣香江花园山水华府,"住宅,低单价,低总价,绿化率高,低密居所",28000,总价150-250(万/套),在售,1室,建面 43-90㎡
玖玥,花都,铁路西,望亭路玖玥,"住宅,低单价,低总价,车位充足,绿化率高",12800,总价126-165(万/套),在售,"2室,3室",建面 97-127㎡
保利锦上,黄埔,香雪,广东省广州市黄埔区隧南路,"住宅,低单价,低总价,车位充足,绿化率高",27000,总价210-395(万/套),在售,3室,建面 75-135㎡
越秀天河和樾府,天河,沙太南,广东省广州市天河区燕园路13号,"住宅,车位充足,绿化率高,国央企,品牌房企",85000,总价850-1600(万/套),在售,"3室,4室",建面 108-180㎡
大华城东瀚,增城,朱村,广东省广州市增城区,"住宅,低单价,低总价,车位充足,人车分流",13000,总价85-165(万/套),在售,"2室,3室",建面 64-97㎡
粤海·云港城,白云,白云大道南,云城西路粤海·云港城,"写字楼,小型社区,国央企,品牌房企,近地铁",价格待定,,在售,,
保利和悦滨江,荔湾,西朗,兴渔路保利和悦滨江,"住宅,低总价,绿化率高,人车分流,国央企",45000,总价350-455(万/套),在售,"3室,4室",建面 74-107㎡
北大科技园·国际科创广场,白云,石井,石沙公路81号,"写字楼,小型社区,近地铁,地铁沿线,综合商场",价格待定,,待售,,
电建地产·洺悦玉府,番禺,市桥,禺山西路电建地产·洺悦玉府,"商业类,车位充足,国央企,品牌房企,公交直达",价格待定,,待售,,
星河湾萝峰,黄埔,香雪,广东省广州市黄埔区萝岗路与启学路交叉口北200米,"住宅,车位充足,绿化率高,品牌房企,入户花园",38000,总价480-1550(万/套),在售,"3室,5室",建面 130-265㎡
越秀国际总部广场,南沙,金洲,金隆路越秀国际总部广场,"写字楼,人车分流,大型社区,国央企,品牌房企",价格待定,,待售,,
旭辉曜玥湾,南沙,明珠湾,国际金融岛横沥大道旁,"商业类,车位充足,大型社区,品牌房企,地铁沿线",价格待定,,待售,,
中国铁建西派澜岸,南沙,明珠湾,长沙村西街中国铁建西派澜岸,"商业类,人车分流,封闭管理,国央企,品牌房企",价格待定,,待售,,
星河江堤春晓,南沙,明珠湾,广东省广州市南沙区凤凰大道横沥东路10号,"商业类,车位充足,人车分流,品牌房企,近地铁",价格待定,,待售,,
新鸿基地产峻銮,番禺,广州南站,广东省广州市番禺区韦涌路,"住宅,车位充足,绿化率高,品牌房企,近地铁",45000,总价388-798(万/套),在售,"3室,4室",建面 68-162㎡
卓粤广场,增城,新塘南,新塘大道东卓粤广场,"写字楼,小型社区,公交直达,综合商场,超市",价格待定,,待售,,
富丰华庭,增城,朱村,朱村大道西富丰华庭,"住宅,车位充足,人车分流,近地铁,地铁沿线",16000,总价142-188(万/套),在售,"2室,3室",建面 89-118㎡
升龙·学府上城,黄埔,知识城,九龙大道,"商业类,绿化率高,小型社区,品牌房企,近地铁",价格待定,,待售,,
长岭雅居,黄埔,长岭居,长贤路长岭雅居,"住宅,车位充足,绿化率高,国央企,品牌房企",价格待定,,在售,,
珠实·嘉悦湾,白云,同德围,广东省广州市白云区同嘉路34号,"住宅,车位充足,人车分流,国央企,品牌房企",38000,总价350-420(万/套),在售,"4室,5室",建面 89-112㎡
国化广场,白云,白云大道南,广东省广州市白云区云城北二路116号,"写字楼,车位充足,人车分流,国央企,品牌房企",价格待定,,待售,,
白鹅潭悦府,荔湾,芳村,广东省广州市荔湾区长堤街133号,"住宅,车位充足,人车分流,国央企,品牌房企",100000,总价1000-2000(万/套),在售,"3室,4室",建面 135-243㎡
宏鼎广场,白云,机场路,云城西路宏鼎广场,"写字楼,小型社区,品牌房企,近地铁,地铁沿线",价格待定,,待售,,
君超中心,天河,金融城,黄埔大道中君超中心,"写字楼,人车分流,小型社区,近地铁,多轨交汇",价格待定,,待售,,
星晴雅筑,番禺,市桥北,市桥街光明北路儿童公园路口西侧,"住宅,低单价,低总价,人车分流,小型社区",31000,总价276-288(万/套),在售,2室,建面 89-93㎡
世纪金源天河源筑,天河,粤垦,东莞庄路世纪金源天河源筑,"住宅,车位充足,绿化率高,品牌房企,地铁沿线",61888,总价610-1365(万/套),在售,"3室,4室",建面 93-182㎡
茗筑水岸,南沙,明珠湾,庙南路茗筑水岸,"住宅,人车分流,封闭管理,国央企,公交直达",价格待定,,在售,,
龙湖金地天峯,番禺,番禺客运站,傍雁路龙湖金地天峯,"商业,低总价,人车分流,大型社区,品牌房企",80000,总价150(万/套),在售,,
耀胜新世界广场,番禺,汉溪长隆,汉兴西路耀胜新世界广场,"写字楼,小型社区,品牌房企,近地铁,多轨交汇",价格待定,,待售,,
侨银大厦,荔湾,坑口,东漖大桥侨银大厦,"写字楼,小型社区,地铁沿线,公交直达,超市",价格待定,,待售,,
汉国置业港汇台,越秀,海珠广场,沿江中路港汇华庭二期,"住宅,车位充足,人车分流,近地铁,地铁沿线",100000,总价700-1730(万/套),在售,"2室,3室",建面 69-144㎡
越秀滨海花城,南沙,南沙区府,广澳高速越秀滨海花城,"住宅,低单价,低总价,车位充足,人车分流",15000,总价108-123(万/套),在售,3室,建面 75-97㎡
广州城投东园公馆,越秀,越秀南,越秀南路广州城投东园公馆,"住宅,车位充足,人车分流,国央企,品牌房企",130000,总价1000-2100(万/套),在售,"3室,4室",建面 91-178㎡
中国铁建翰林新语,增城,新塘北,乌石大道中国铁建翰林新语,"住宅,车位充足,人车分流,国央企,品牌房企",18000,总价130-180(万/套),在售,"2室,3室",建面 72-95㎡
联投·文津府,天河,黄村,执信三路联投·文津府,"住宅,车位充足,绿化率高,国央企,品牌房企",65000,总价685-1150(万/套),在售,"3室,4室",建面 111-165㎡
万科·理想花地·瑧园,荔湾,花地湾,广东省广州市荔湾区东漖北路191号,"住宅,车位充足,人车分流,国央企,品牌房企",54000,总价560-1050(万/套),在售,"3室,4室",建面 110-186㎡
万科·理想花地·朗庭,荔湾,花地湾,广东省广州市荔湾区花地大道北385号,"住宅,人车分流,封闭管理,国央企,品牌房企",47000,总价350-585(万/套),在售,"2室,3室",建面 79-128㎡
智联花园,番禺,莲花山,石楼镇智睿大街4号,"底商,车位充足,人车分流,国央企,品牌房企",30000,总价3000(万/套),在售,,
富豪山庄·领峰,番禺,富豪山庄,番禺区东环街市广路232号富豪大厦,"住宅,低单价,低总价,车位充足,低密居所",30000,总价159-321(万/套),在售,1室,建面 53-107㎡
仟信广场,从化,河滨北路,仟信街12号,"商业类,低单价,低总价,车位充足,绿化率高",9000,总价69(万/套),在售,1室,建面 51㎡
万科·瑧山府,白云,白云大道南,广东省广州市白云区白云大道788号,"住宅,车位充足,人车分流,国央企,品牌房企",70000,总价840-1650(万/套),在售,"2室,3室",建面 110-193㎡
中建天河精诚壹号,天河,岑村,广东省广州市天河区长兴街道华观路以北，高唐路以西,"住宅,绿化率高,人车分流,国央企,品牌房企",60000,总价485-760(万/套),在售,"2室,3室",建面 78-118㎡
鹏瑞1号,天河,东圃,黄埔大道东鹏瑞金融城,"商业类,车位充足,人车分流,品牌房企,近地铁",价格待定,,在售,,
保利四季和颂,海珠,广州大道南,广东省广州市海珠区广州大道南788号,"住宅,车位充足,绿化率高,国央企,品牌房企",90000,总价780-1100(万/套),在售,"3室,4室",建面 108-140㎡
中国铁建西派粤府,海珠,沥滘,南天路中国铁建西派粤府,"住宅,车位充足,绿化率高,国央企,品牌房企",65000,总价780-1200(万/套),在售,4室,建面 120-140㎡
越秀珠实城发江湾和樾,海珠,工业大道中,广东省广州市海珠区昌岗西路,"住宅,车位充足,大型社区,国央企,品牌房企",75000,总价950-1500(万/套),在售,4室,建面 107-188㎡
空港国际·科技谷,花都,花东镇,凤祥路空港国际·科技谷,"写字楼,小型社区,公交直达,超市,公园",价格待定,,待售,,
云庐,白云,东平,白云大道北云庐,"住宅,车位充足,绿化率高,国央企,品牌房企",55000,总价750-1000(万/套),在售,4室,建面 128-172㎡
品秀星图,增城,新塘北,广州地铁13号线官湖车辆段（官湖站B出口）,"商业,车位充足,人车分流,国央企,品牌房企",36000,,在售,,
琶洲樾,海珠,磨碟沙,新港东路琶洲樾,"住宅,小型社区,国央企,品牌房企,近地铁",价格待定,,待售,,
保利·天瑞,天河,汇景新城,广园快速路保利·天瑞,"住宅,车位充足,绿化率高,国央企,品牌房企",80000,总价890-2500(万/套),在售,"3室,4室",建面 107-268㎡
珠江国际城,从化,神岗镇,广从南路珠江壹城,"底商,人车分流,大型社区,品牌房企,近地铁",19000,总价110(万/套),在售,1室,建面 26-53㎡
保利锦上印,荔湾,坑口,东漖街保利锦上印,"住宅,绿化率高,人车分流,国央企,品牌房企",54000,总价450-780(万/套),在售,"2室,3室",建面 88-126㎡
品秀·星瀚,番禺,广州南站,大榄地路品秀·星瀚,"底商,低总价,车位充足,人车分流,国央企",30000,总价80(万/套),在售,,
星河·盛世锦城,番禺,雅居乐,广东省广州市番禺区陈地路44号,"住宅,绿色建筑,车位充足,品牌房企,近地铁",37000,总价320-491(万/套),在售,"3室,4室",建面 95-139㎡
科城·新世代,黄埔,知识城,四横路科城·新世代,"住宅,小型社区,近地铁,地铁沿线,超市",价格待定,,待售,,
丰盛101,增城,新塘北,民营西一路丰盛101,"写字楼,小型社区,品牌房企,地铁沿线,公交直达",价格待定,,待售,,
龙湖御湖境,番禺,大石,迎宾路龙湖御湖境,"住宅,车位充足,绿化率高,品牌房企,地铁沿线",46000,总价480-950(万/套),在售,4室,建面 115-206㎡
珠实·西关都荟,荔湾,南岸路,荔湾区南岸路26号,"住宅,人车分流,小型社区,国央企,品牌房企",70000,总价580-1100(万/套),在售,"4室,5室",建面 89-142㎡
正升星荟,白云,石井,石沙公路正升星荟,"商业类,小型社区,品牌房企,近地铁,地铁沿线",价格待定,,待售,,
珠江右岸,白云,石井,广海路珠江右岸,"住宅,小型社区,国央企,品牌房企,超市",价格待定,,待售,,
保利锦上,黄埔,香雪,隧南路保利锦上,"底商,车位充足,人车分流,国央企,品牌房企",35000,总价190(万/套),在售,,建面 79㎡
光大ONE+,增城,永宁,香山大道与创盈路交汇处,"写字楼,大型社区,品牌房企,公交直达,超市",价格待定,,待售,,
广汇新世界金融中心,增城,凤凰城,广东省广州市增城区凤凰北一路64号,"写字楼,小型社区,近地铁,地铁沿线,超市",价格待定,,待售,,
广州地铁地产珑璟台,海珠,赤岗,龙潭东环街广州地铁地产·珑璟台,"住宅,人车分流,小型社区,国央企,品牌房企",95000,总价900-2000(万/套),在售,"3室,4室",建面 120-195㎡
万科瑧樾府,越秀,东川路,东濠涌高架路万科·瑧樾府,"住宅,小型社区,封闭管理,国央企,品牌房企",90000,总价950-1800(万/套),在售,"3室,4室",建面 107-180㎡
广建·云城学府,白云,,广州市白云区广建·云城学府,"住宅,绿化率高,大型社区,国央企,品牌房企",价格待定,,待售,,
长隆万博悦府,番禺,汉溪长隆,汉溪大道东长隆万博悦府,"住宅,车位充足,绿化率高,国央企,品牌房企",65000,总价630-2300(万/套),在售,"4室,5室",建面 108-300㎡
粤海壹桂府,越秀,海珠广场,北京路粤海壹桂府,"商业,国央企,品牌房企,近地铁,地铁沿线",价格待定,,待售,,
广州之窗商务港,海珠,沥滘,振兴大街,"写字楼,大型社区,国央企,品牌房企,近地铁",价格待定,,待售,,
亿凯创智汇,白云,太和,北太路亿凯创智汇,"商业,小型社区,地铁沿线,公交直达,综合商场",价格待定,,待售,,
晓庐,海珠,磨碟沙,新港东路晓庐,"酒店式公寓,小型社区,近地铁,地铁沿线,超市",价格待定,,待售,,
东基天河阳光,天河,黄村,大观街东基·天河阳光,"商业,低总价,人车分流,小型社区,品牌房企",38000,总价120(万/套),在售,,
保利阅江台,海珠,滨江东,广东省广州市海珠区玉菡路50号,"住宅,车位充足,人车分流,国央企,品牌房企",92000,总价1300-1900(万/套),在售,4室,建面 139-208㎡
广州足球公园,番禺,钟村,谢村地铁站旁,"住宅,大型社区,国央企,品牌房企,近地铁",价格待定,,待售,,
金侨岭南院,番禺,石楼,莲湖路1号,"住宅,小型社区,公交直达,超市",价格待定,,待售,,
越秀滨江樾,海珠,滨江西,滨江西路256号,"住宅,车位充足,小型社区,国央企,品牌房企",90000,总价1800-2850(万/套),在售,4室,建面 195-298㎡
江语上品苑,白云,石井,广州市白云区广海路以北,"住宅,特价好房,车位充足,人车分流,国央企",45000,总价570-1750(万/套),在售,"3室,4室",建面 125-265㎡
淘金山花园,增城,朱村,朱村街淘金山花园,"住宅,小型社区,超市",价格待定,,待售,,
旺村·知筑,黄埔,知识城,旺村西路旺村知筑,"住宅,小型社区,国央企,地铁沿线,公交直达",价格待定,,待售,,
华润置地天河润府,天河,黄村,广州天河奥体天河区·广园快速路·天河儿童公园旁,"住宅,车位充足,绿化率高,国央企,品牌房企",60000,总价410-800(万/套),在售,"3室,4室",建面 81-130㎡
君熙府,越秀,北京路,解放中路392号,"住宅,车位充足,人车分流,近地铁,地铁沿线",85000,总价860-1390(万/套),在售,"3室,4室",建面 93-146㎡
云瀚府,越秀,东川路,白云路29-31号,"住宅,车位充足,人车分流,品牌房企,近地铁",100000,总价1250-2100(万/套),在售,"3室,5室",建面 130-197㎡
佳兆业佳泽园,增城,荔城西区,荔城街增城大道钟岗地铁D出口附近,"底商,低单价,车位充足,人车分流,品牌房企",18500,总价130(万/套),在售,,
保利水木芳华,增城,朱村,朱村大道西保利水木芳华,"底商,人车分流,小型社区,国央企,品牌房企",25000,总价130(万/套),待售,,
铂玥明珠ONE,南沙,明珠湾,文字路铂玥明珠ONE,"商业类,车位充足,人车分流,品牌房企,近地铁",14000,总价92-119(万/套),在售,"2室,3室",建面 54-70㎡
珠光小北御景,越秀,小北,越秀北路,"住宅,小型社区,近地铁,地铁沿线,超市",价格待定,,待售,,
中海浣花里,荔湾,坑口,浣花路中海浣花里,"住宅,人车分流,小型社区,国央企,品牌房企",46000,总价305-510(万/套),在售,"3室,4室",建面 71-108㎡
武汉城建·保利·花语和岸,荔湾,芳村,广东省广州市荔湾区花地街道涌岸街武汉城建·保利·花语和岸,"住宅,绿化率高,人车分流,品牌房企,近地铁",51000,总价580-600(万/套),在售,4室,建面 86-142㎡
青云喜满园,从化,旺城片区,和鸣路青云喜满园,"住宅,车位充足,绿化率高,公交直达,综合商场",价格待定,,待售,,
朗悦时光里,花都,铁路西,瑞云路朗悦时光里,"商业,人车分流,小型社区,近地铁,地铁沿线",价格待定,,待售,,
云星汇,白云,江夏,广云路云星汇,"商业类,小型社区,近地铁,地铁沿线,超市",价格待定,,待售,,
保利琅誉,番禺,番禺客运站,广东省广州市番禺区傍雁路98号,"住宅,车位充足,绿化率高,国央企,品牌房企",33000,总价315-470(万/套),在售,"3室,4室",建面 92-132㎡
路劲美的隽樾府,番禺,番禺广场,广东省广州市番禺区东盛路50号,"住宅,低总价,车位充足,人车分流,品牌房企",38000,总价310-520(万/套),在售,"2室,3室",建面 87-132㎡
明月豪庭,越秀,西门口,解放中路明月豪庭,"商业类,小型社区,近地铁,地铁沿线,小户型",28000,总价130-501(万/套),在售,"1室,2室",建面 42-132㎡
中铁诺德·阅泷,白云,江高镇,广花路430号,"底商,低总价,车位充足,大型社区,国央企",价格待定,,在售,,
保利和颂,荔湾,坑口,浣花路保利和颂,"住宅,低总价,人车分流,小型社区,国央企",46000,总价370-469(万/套),在售,"1室,3室",建面 72-99㎡
国贸云上,白云,嘉禾望岗,白云-嘉禾望岗/松园路国贸云上,"住宅,绿化率高,人车分流,国央企,品牌房企",50000,总价390-615(万/套),在售,"3室,4室",建面 85-143㎡
益乐邻里,白云,黄石,机场路益乐邻里,"住宅,小型社区,国央企,地铁沿线,公交直达",价格待定,,待售,,
琶洲One57,海珠,磨碟沙,广东省广州市海珠区新港东路107号,"商业类,人车分流,小型社区,国央企,品牌房企",55000,总价160-320(万/套),在售,"1室,3室",建面 34-67㎡
盛禾水悦城,白云,石井,珠岗路盛禾水悦城,"商业类,小型社区,近地铁,地铁沿线,超市",价格待定,,待售,,
嘉禧天和大厦,天河,黄村,广州市天河区黄村康体路,"商业类,人车分流,小型社区,近地铁,多轨交汇",价格待定,,待售,,
广州城投湾区金融港,天河,金融城,广东省广州市天河区临江大道北,"商业类,人车分流,小型社区,国央企,品牌房企",价格待定,,在售,,
中金岭南鑫贸大厦,南沙,明珠湾,沙嘴东路中金岭南鑫贸大厦,"写字楼,小型社区,国央企,地铁沿线,公交直达",价格待定,,待售,,
星河智荟二期,南沙,明珠湾,新村街星河智荟二期,"住宅,低单价,低总价,绿化率高,人车分流",18000,总价160-220(万/套),在售,"3室,4室",建面 88-118㎡
亿凯创智汇,白云,太和,北太路亿凯创智汇,"商业类,优惠楼盘,低总价,小型社区,地铁沿线",14000,总价90(万/套),在售,3室,建面 64㎡
嘉裕华庭,番禺,市桥,繁华路170号,"住宅,车位充足,小型社区,地铁沿线,公交直达",价格待定,,待售,,
建发央玺,白云,石井,石潭路444号,"商业类,大型社区,国央企,品牌房企,近地铁",价格待定,,待售,,
建发明珠湾玺,南沙,明珠湾,凤凰大道建发明珠湾玺,"商业类,人车分流,封闭管理,国央企,品牌房企",19500,总价70(万/套),在售,,
建发明珠湾玺,南沙,明珠湾,凤凰大道建发明珠湾玺,"商业,低总价,人车分流,封闭管理,国央企",19500,总价70-130(万/套),在售,"0室,1室",建面 36-72㎡
金海岸花园观海,番禺,番禺客运站,广东省广州市番禺区金海岸大道87号,"住宅,绿化率高,大平层,动静分明,现房",50000,总价1130-1590(万/套),在售,"4室,5室",建面 220-318㎡
敏捷东樾府,增城,石滩镇,绿湖南路西南向,"商业,车位充足,人车分流,品牌房企,公交直达",价格待定,,待售,,
润悦,增城,荔城西区,广汕公路华润置地润悦,"商业,大型社区,国央企,品牌房企,公交直达",价格待定,,待售,,
珠光御景壹號,荔湾,黄沙,黄沙大道15-17号,"商业,车位充足,大型社区,国央企,品牌房企",价格待定,,待售,,
中新知识城国际领军人才集聚区,黄埔,知识城,狮龙大道中（凤凰湖北岸）,"写字楼,大型社区,近地铁,地铁沿线,综合商场",价格待定,,待售,,
广州城投未来智都,白云,江夏,云康南路广州城投未来智都,"写字楼,小型社区,国央企,近地铁,地铁沿线",价格待定,,待售,,
奥园湾区智谷,南沙,东涌,纵三路奥园湾区智谷,"写字楼,小型社区,品牌房企,地铁沿线,公园",价格待定,,待售,,
高新仕林苑,黄埔,长岭居,广州黄埔长岭居萝岭路以东、长贤路以南,"住宅,车位充足,绿化率高,国央企,品牌房企",35000,总价360-490(万/套),在售,"3室,4室",建面 99-182㎡
越秀白云星汇城,白云,钟落潭,14号线钟落潭地铁站旁,"商业,大型社区,国央企,品牌房企,地铁沿线",价格待定,,待售,,
金茂万科都会四季商铺,增城,白江,新塘镇东江大道和沿江大道交汇处,"商业,车位充足,人车分流,国央企,品牌房企",价格待定,,待售,,
国化广场,白云,白云大道南,广东省广州市白云区云城北二路116号,"商业类,车位充足,人车分流,近地铁,地铁沿线",价格待定,,待售,,
东基天河阳光,天河,黄村,大观街东基·天河阳光,"商业类,人车分流,小型社区,品牌房企,地铁沿线",价格待定,,待售,,
中海江泰里,海珠,江燕路,广东省广州市海珠区江泰路46号,"商业,小型社区,国央企,品牌房企,近地铁",价格待定,,待售,,
星河畔月湾,南沙,横沥,新广一路星河畔月湾,"商业,车位充足,大型社区,公交直达,公园",价格待定,,待售,,
耀胜新世界广场,番禺,汉溪长隆,汉兴西路耀胜新世界广场,"商业,小型社区,品牌房企,近地铁,多轨交汇",价格待定,,待售,,
万科黄埔新城,黄埔,南岗,广东省广州市黄埔区沙步大路12,"商业,车位充足,人车分流,国央企,品牌房企",价格待定,,待售,,
中建凤榕台,增城,朱村,新时路中建凤榕台,"商业,小型社区,国央企,品牌房企,近地铁",价格待定,,待售,,
IN PARK星贸中心,黄埔,科学城,映日路IN PARK星贸中心,"商业类,小型社区,国央企,品牌房企,近地铁",价格待定,,待售,,
中建·星光城,白云,石井,石沙路与朝阳联滘街交界处,"商业,小型社区,国央企,品牌房企,近地铁",价格待定,,待售,,
嘉禧天和,天河,黄村,黄村康体路嘉禧天和,"商业类,小型社区,近地铁,多轨交汇,超市",价格待定,,待售,,
金祥大厦,荔湾,流花站前,站前路193号,"商业,小型社区,近地铁,地铁沿线,超市",价格待定,,待售,,
天鹅壹号,海珠,洪德,环岛路天鹅壹号,"商业类,小型社区,近地铁,多轨交汇,超市",价格待定,,待售,,
粤海·云港城,白云,白云大道南,云城西路粤海·云港城,"商业类,人车分流,大型社区,国央企,品牌房企",40000,总价230-660(万/套),在售,"1室,3室",建面 50-148㎡
星河发展大厦,南沙,明珠湾,广东省广州市南沙区横沥镇星河发展大厦,"商业,车位充足,小型社区,品牌房企,地铁沿线",价格待定,,待售,,
迈谷·天河科融苑,天河,车陂,车陂西路迈谷科融苑,"商业类,小型社区,近地铁,地铁沿线,超市",价格待定,,待售,,
银帝云珹天地,白云,白云大道南,云城东路银帝云珹天地,"写字楼,车位充足,人车分流,品牌房企,近地铁",价格待定,,待售,,
广州力合科创中心,白云,石井,石门街道广州力合科创中心,"写字楼,小型社区,国央企,品牌房企,近地铁",价格待定,,待售,,
城投天禧,天河,智慧城,广州市天河区智慧城华观路与大观中路交界处(地铁21号线天河智慧城站B出口可达),"住宅,车位充足,绿化率高,国央企,品牌房企",46000,总价520-870(万/套),在售,"3室,4室",建面 108-138㎡
建鑫荔棠雅苑,增城,新塘北,广深大道中88号,"住宅,小型社区,地铁沿线,公交直达,综合商场",价格待定,,在售,,
新世界·天馥,荔湾,滘口,珠江桥南侧花卉研究所西侧,"住宅,低总价,人车分流,大型社区,品牌房企",41000,总价295-650(万/套),在售,"3室,4室",建面 76-139㎡
黄埔创新中心,黄埔,黄埔区府,丰乐北路雅居乐黄埔创新中心,"商业类,小型社区,地铁沿线,公交直达,综合商场",价格待定,,待售,,
建华广场,白云,机场路,云城东路555号,"商业类,品牌房企,近地铁,地铁沿线,超市",价格待定,,待售,,
珠江国际创业中心,增城,新塘北,新塘镇创想路8号,"商业类,国央企,品牌房企,公交直达,综合商场",价格待定,,待售,,
金茂万科都会四季,增城,白江,新塘镇东江大道和沿江大道交汇处,"商业类,车位充足,人车分流,国央企,品牌房企",价格待定,,待售,,
钧明欢乐世界,增城,永宁,镇永和誉山国际山语一街5号一层,"商业类,小型社区,品牌房企,公交直达,综合商场",价格待定,,待售,,
