,标题,地区,具体位置,类型,均价/平方米每元,室厅数,面积,标签,总价,对数均价/平方米每元,对数总价,对数面积
286,海语天悦湾,南沙,凤凰大道越秀中国铁建南投海语天悦湾,在售,28000.0,2,111.0,"住宅,车位充足,绿化率高,国央企,品牌房企",345.0,10.239959789157341,5.843544417031359,4.709530201312334
287,国贸学原,增城,广汕公路国贸学原,在售,13500.0,2,102.0,"住宅,低单价,低总价,人车分流,大型社区",142.5,9.51044496442652,4.959341999708705,4.624972813284271
288,星河江缦,荔湾,广东省广州市荔湾区滘口大街与鹅潭路交叉口西北,在售,70000.0,4,207.0,"住宅,车位充足,绿化率高,品牌房企,近地铁",1450.0,11.156250521031495,7.27931883541462,5.332718793265369
289,公交珠实花城云著,白云,广花一路公交珠实花城云著,在售,35000.0,3,78.0,"住宅,低总价,车位充足,人车分流,国央企",284.5,10.46310334047155,5.6507332535663855,4.356708826689592
290,中海江泰里,海珠,海珠区凤阳街江泰路36号,在售,65000.0,3,90.0,"住宅,绿化率高,人车分流,国央企,品牌房企",625.0,11.082142548877775,6.437751649736401,4.499809670330265
291,保利水木芳华,增城,朱村大道西保利水木芳华,在售,12000.0,1,85.0,"住宅,低单价,低总价,人车分流,大型社区",132.0,9.392661928770137,4.882801922586371,4.442651256490317
292,保利领秀海,番禺,广州市番禺区石楼镇鲤鱼岗9号名人山庄,在售,22000.0,3,122.0,"住宅,低单价,低总价,绿化率高,人车分流",327.5,9.998797732340453,5.791488055075306,4.804021044733257
293,云麓花城,白云,白云城投云麓花城，太和镇沙亭北路南侧地块,在售,23000.0,3,82.0,"住宅,低单价,低总价,车位充足,人车分流",197.0,10.043249494911286,5.2832037287379885,4.406719247264253
294,电建都汇府,花都,广东省广州市花都区迎宾大道,在售,36000.0,3,155.0,"住宅,车位充足,人车分流,国央企,品牌房企",580.0,10.491274217438246,6.363028103540465,5.043425116919247
295,金地公园名著,增城,广东省广州市增城区新新公路与创盈路交叉口西南140米,在售,12200.0,2,87.5,"住宅,低单价,低总价,车位充足,人车分流",109.0,9.409191230721348,4.6913478822291435,4.471638793363568
296,广州滨江上都,荔湾,芳村大道南广州滨江上都,在售,70000.0,2,230.0,"商业类,车位充足,绿化率高,品牌房企,多轨交汇",565.0,11.156250521031495,6.33682573114644,5.438079308923196
297,中海映澜台,海珠,新业路中海映澜台,在售,110000.0,4,193.5,"住宅,车位充足,人车分流,国央企,品牌房企",2550.0,11.608235644774552,7.843848638152472,5.2652775124698366
298,保利湖光悦色,海珠,华洲路保利湖光悦色,在售,85000.0,4,160.0,"住宅,车位充足,绿化率高,国央企,品牌房企",1275.0,11.350406535472453,7.150701457592526,5.075173815233827
299,中洲紫轩,黄埔,广东省广州市黄埔区中山大道387号（5/13号线鱼珠站）,待售,35000.0,3,78.0,"商业类,低总价,车位充足,人车分流,品牌房企",353.0,10.46310334047155,5.8664680569332965,4.356708826689592
300,广垦天河1号,天河,怡新路广垦天河1号,在售,30000.0,1,40.0,"商业类,低总价,人车分流,封闭管理,国央企",122.0,10.308952660644293,4.804021044733257,3.6888794541139363
301,越秀星耀TOD,增城,环城路越秀·星耀TOD,在售,16000.0,2,50.5,"商业类,低总价,人车分流,大型社区,近地铁",81.0,9.680344001221918,4.394449154672438,3.921973336281314
302,珠光海珠新城,海珠,南洲路975号,在售,55000.0,3,162.5,"住宅,车位充足,绿化率高,多轨交汇,地铁沿线",1455.0,10.915088464214607,7.282761179605592,5.090678001769792
303,公园海,南沙,环市大道南公园海,待售,18339.0,3,109.0,"住宅,车位充足,绿化率高,国央企,品牌房企",337.5,9.816785218696834,5.821565510312585,4.6913478822291435
304,联发|悦璞园,增城,南北大道联发悦璞,待售,18339.0,3,109.0,"住宅,小型社区,国央企,品牌房企,公交直达",337.5,9.816785218696834,5.821565510312585,4.6913478822291435
305,龙狮璟珑府,黄埔,Y079龙狮璟珑府,在售,23000.0,3,129.5,"住宅,低单价,低总价,绿化率高,低密居所",345.0,10.043249494911286,5.843544417031359,4.863680881139592
306,广州城投·空港1号,花都,广州市花都区雅新大道（黄广中学南侧）,在售,23000.0,3,95.5,"住宅,车位充足,绿化率高,国央企,品牌房企",230.0,10.043249494911286,5.438079308923196,4.5591262474866845
307,时代天境（花都）,花都,天贵路时代天境（花都）,待售,18339.0,3,109.0,"住宅,人车分流,小型社区,品牌房企,地铁沿线",337.5,9.816785218696834,5.821565510312585,4.6913478822291435
308,粤海·云港城,白云,广东省广州市白云区齐心路84号（白云公园站旁）,在售,85000.0,4,202.0,"住宅,车位充足,绿化率高,国央企,品牌房企",1875.0,11.350406535472453,7.536363938404511,5.308267697401204
309,力高大家·美颂,增城,增城区北绕线力高大家·美颂,待售,18339.0,3,109.0,"住宅,小型社区,品牌房企,地铁沿线,公交直达",337.5,9.816785218696834,5.821565510312585,4.6913478822291435
310,珠江广钢花城,荔湾,广州市荔湾区荷景路5号,在售,35000.0,3,90.5,"住宅,低总价,绿化率高,国央企,品牌房企",385.0,10.46310334047155,5.953243334287784,4.50534985070588
311,珠江·金瑶台,海珠,广东省广州市海珠区崇礼大街18号,在售,50000.0,2,91.0,"住宅,绿化率高,人车分流,国央企,品牌房企",455.0,10.819778284410283,6.12029741895095,4.51085950651685
312,富好城繁华里,增城,广东省广州市增城区富好城路30,在售,13000.0,3,93.0,"住宅,低单价,低总价,人车分流,大型社区",115.0,9.472704636443673,4.74493212836325,4.532599493153255
313,北大科技园·国际科创广场,白云,石沙公路81号,待售,18339.0,3,109.0,"商业类,小型社区,近地铁,地铁沿线,综合商场",337.5,9.816785218696834,5.821565510312585,4.6913478822291435
314,保利西悦湾,荔湾,东漖南路保利西悦湾,待售,18339.0,3,109.0,"商业类,绿化率高,人车分流,国央企,品牌房企",337.5,9.816785218696834,5.821565510312585,4.6913478822291435
315,利通金融中心,南沙,潭州路利通金融中心,在售,23000.0,3,109.0,"写字楼,车位充足,大型社区,品牌房企,地铁沿线",337.5,10.043249494911286,5.821565510312585,4.6913478822291435
316,广州城投禧阅盛汇,增城,汽车城大道广州城投禧阅盛汇,待售,18339.0,3,109.0,"商业类,人车分流,大型社区,国央企,品牌房企",337.5,9.816785218696834,5.821565510312585,4.6913478822291435
317,富力富云山,白云,黄石西街23号,待售,18339.0,3,109.0,"商业类,小型社区,品牌房企,近地铁,地铁沿线",337.5,9.816785218696834,5.821565510312585,4.6913478822291435
318,天地源伴山溪谷,番禺,沙东路天地源伴山溪谷,在售,25000.0,2,91.5,"住宅,低单价,低总价,车位充足,绿化率高",232.5,10.126631103850338,5.4488902250274105,4.516338972281476
319,凯德双桥新作,荔湾,广东省广州市荔湾区裕福街35号,在售,57000.0,3,101.0,"住宅,绿化率高,人车分流,品牌房企,近地铁",675.0,10.950806546816686,6.514712690872529,4.61512051684126
320,广开控股城投云锦,黄埔,萝岭路广开控股城投云锦,在售,45000.0,3,155.0,"住宅,车位充足,人车分流,国央企,品牌房企",710.0,10.714417768752456,6.5652649700353605,5.043425116919247
321,御璟兰园,南沙,凤凰大道融朗园,在售,30000.0,4,111.5,"住宅,车位充足,人车分流,国央企,品牌房企",352.5,10.308952660644293,5.865050622252323,4.7140245909001735
322,合生中央城（商业）,黄埔,开源大道22号,在售,60000.0,1,46.0,"商业,低总价,人车分流,大型社区,休闲会所",240.0,11.002099841204238,5.480638923341991,3.828641396489095
323,星河江堤春晓,南沙,广东省广州市南沙区凤凰大道横沥东路10号,在售,33000.0,3,116.0,"住宅,车位充足,人车分流,品牌房企,自持商业",425.0,10.404262840448617,6.052089168924416,4.7535901911063645
324,科苑壹号,南沙,广东省广州市南沙区南沙湾南横地铁站旁,在售,24000.0,4,145.5,"住宅,车位充足,绿化率高,国央企,品牌房企",490.0,10.085809109330082,6.194405391104672,4.980176086611547
325,越秀江海潮鸣,南沙,安益路越秀江海潮鸣,在售,28000.0,2,118.0,"住宅,车位充足,人车分流,国央企,品牌房企",410.5,10.239959789157341,6.017375928892482,4.770684624465664
326,云城上品（二期）,白云,广东省广州市白云区新石路145号,在售,37000.0,3,126.5,"住宅,车位充足,绿化率高,国央企,品牌房企",470.0,10.51867319162636,6.152732694704104,4.840242308167575
327,越秀·大学城·和樾府,番禺,兴业大道越秀·大学城·和樾府,在售,55000.0,3,135.0,"住宅,车位充足,绿化率高,国央企,品牌房企",727.5,10.915088464214607,6.589613999045647,4.90527477843843
328,广州国际创新驱动中心,黄埔,知识城南起步区知识大道以南、永九快速路以东,待售,18339.0,3,109.0,"商业类,车位充足,小型社区,国央企,品牌房企",337.5,9.816785218696834,5.821565510312585,4.6913478822291435
329,越秀白云星汇城,白云,广龙路12号,在售,20000.0,3,95.0,"住宅,低单价,低总价,绿化率高,人车分流",228.0,9.903487552536127,5.42934562895444,4.553876891600541
330,IN PARK星贸中心,黄埔,映日路IN PARK星贸中心,待售,18339.0,3,109.0,"写字楼,小型社区,国央企,品牌房企,近地铁",337.5,9.816785218696834,5.821565510312585,4.6913478822291435
331,力迅荔筑,荔湾,东风西路南侧源溪大街东侧力迅荔筑,在售,59000.0,3,99.5,"住宅,人车分流,小型社区,品牌房企,近地铁",633.5,10.985292722887856,6.451259999761193,4.600157644164547
332,合景臻溋名铸,天河,黄埔大道东合景臻溋名铸,待售,18339.0,3,109.0,"商业类,小型社区,品牌房企,近地铁,多轨交汇",337.5,9.816785218696834,5.821565510312585,4.6913478822291435
333,保利越秀·天启,荔湾,培真路保利越秀·天启,在售,25000.0,2,47.0,"商业类,低总价,人车分流,封闭管理,国央企",117.5,10.126631103850338,4.7664383335842135,3.8501476017100584
334,香江天辰,增城,G4香江天辰,在售,15500.0,3,90.5,"住宅,车位充足,封闭管理,品牌房企,公交直达",140.0,9.648595302907337,4.941642422609304,4.50534985070588
335,保利明玥湖光,增城,挂绿湖纵三路保利明玥湖光,在售,17000.0,2,102.5,"住宅,车位充足,人车分流,国央企,品牌房企",174.0,9.740968623038352,5.159055299214529,4.629862798578463
336,招商湾区1872,南沙,庆沙路招商湾区1872,待售,18339.0,3,109.0,"商业类,人车分流,小型社区,国央企,品牌房企",337.5,9.816785218696834,5.821565510312585,4.6913478822291435
337,中铁阅江来,南沙,广东省广州市南沙区化工路,在售,19700.0,2,107.0,"住宅,低单价,低总价,人车分流,封闭管理",245.0,9.88837391472608,5.5012582105447265,4.672828834461906
338,中国铁建西派澜岸,南沙,合兴路56号国际金融论坛IFF永久会址相距800米,在售,30000.0,3,183.0,"住宅,绿色建筑,车位充足,国央企,品牌房企",450.0,10.308952660644293,6.1092475827643655,5.2094861528414205
339,云城上品,白云,广东省广州市白云区新石路145号,在售,37000.0,3,88.5,"住宅,低总价,车位充足,绿化率高,国央企",315.0,10.51867319162636,5.752572638825633,4.483002552013883
340,勤诚达悦城,黄埔,洋田路勤诚达悦城,待售,18339.0,3,109.0,"住宅,小型社区,品牌房企,公交直达,超市",337.5,9.816785218696834,5.821565510312585,4.6913478822291435
341,星际云汇,黄埔,广东省广州市黄埔区S117(开创大道),在售,18339.0,3,109.0,"商业类,国央企,近地铁,地铁沿线,小户型",337.5,9.816785218696834,5.821565510312585,4.6913478822291435
342,珠实云悦花语,白云,广州市白云区钟落潭镇良城三路7号距广州14号线钟落潭地铁站A出口800米处,在售,15000.0,3,84.0,"住宅,低单价,低总价,车位充足,绿化率高",145.0,9.615805480084347,4.976733742420574,4.430816798843313
343,诚汇新都·榕诚湾,荔湾,花海路力诚榕诚湾,在售,42000.0,3,125.0,"住宅,绿化率高,人车分流,品牌房企,地铁沿线",620.0,10.645424897265505,6.429719478039137,4.828313737302301
344,招商保利海珠天珺,海珠,新港东路保利海珠天珺,在售,30000.0,3,111.0,"商业类,车位充足,人车分流,国央企,品牌房企",340.0,10.308952660644293,5.828945617610207,4.709530201312334
345,招商保利海珠天珺,海珠,新港东路保利海珠天珺,在售,50000.0,3,109.0,"底商,车位充足,人车分流,国央企,品牌房企",330.0,10.819778284410283,5.799092654460526,4.6913478822291435
346,勤诚达悦峯,黄埔,黄登路勤诚达悦峯,待售,18339.0,3,109.0,"住宅,小型社区,品牌房企,公交直达,综合商场",337.5,9.816785218696834,5.821565510312585,4.6913478822291435
347,珠江天郦,天河,广州市天河区中山大道西1150号,在售,85000.0,4,154.5,"住宅,车位充足,人车分流,品牌房企,近地铁",1500.0,11.350406535472453,7.313220387090301,5.0401940963378
348,勤诚达悦府,黄埔,长龙街勤诚达悦府,待售,18339.0,3,109.0,"住宅,小型社区,品牌房企,地铁沿线,公交直达",337.5,9.816785218696834,5.821565510312585,4.6913478822291435
349,东江逸珑湾,增城,沿江大道39号（甘泉小学东侧）,在售,17000.0,3,109.0,"底商,低单价,人车分流,大型社区,品牌房企",200.0,9.740968623038352,5.298317366548036,4.6913478822291435
350,中海麓府,白云,广云路中海麓府,在售,65000.0,3,148.0,"住宅,车位充足,人车分流,国央企,品牌房企",1050.0,11.082142548877775,6.956545443151569,4.997212273764115
351,祈福半山臻品,番禺,祈福天湖一街祈福半山臻品,在售,30000.0,2,113.5,"住宅,低单价,车位充足,绿化率高,置换改善",363.5,10.308952660644293,5.895779296973574,4.7318028369214575
352,岭南V谷荔湾新天地,荔湾,荔信三街岭南V谷荔湾新天地,在售,28000.0,2,53.0,"商业类,低总价,车位充足,绿化率高,国央企",180.0,10.239959789157341,5.19295685089021,3.9702919135521215
353,越秀公交天悦云山府,白云,白云大道北1697号,在售,40000.0,4,123.0,"住宅,车位充足,人车分流,国央企,品牌房企",535.0,10.596634733096073,6.282266746896006,4.812184355372417
354,布查特官邸情景洋房,番禺,迎宾路锦绣香江花园山水华府,在售,28000.0,1,66.5,"住宅,低单价,低总价,绿化率高,低密居所",200.0,10.239959789157341,5.298317366548036,4.197201947661808
355,玖玥,花都,望亭路玖玥,在售,12800.0,2,112.0,"住宅,低单价,低总价,车位充足,绿化率高",145.5,9.457200449907708,4.980176086611547,4.718498871295094
356,保利锦上,黄埔,广东省广州市黄埔区隧南路,在售,27000.0,3,105.0,"住宅,低单价,低总价,车位充足,绿化率高",302.5,10.203592144986466,5.712081277470896,4.653960350157523
357,越秀天河和樾府,天河,广东省广州市天河区燕园路13号,在售,85000.0,3,144.0,"住宅,车位充足,绿化率高,国央企,品牌房企",1225.0,11.350406535472453,7.110696122978827,4.969813299576001
358,大华城东瀚,增城,广东省广州市增城区,在售,13000.0,2,80.5,"住宅,低单价,低总价,车位充足,人车分流",125.0,9.472704636443673,4.828313737302301,4.388257184424518
359,粤海·云港城,白云,云城西路粤海·云港城,在售,18339.0,3,109.0,"写字楼,小型社区,国央企,品牌房企,近地铁",337.5,9.816785218696834,5.821565510312585,4.6913478822291435
360,保利和悦滨江,荔湾,兴渔路保利和悦滨江,在售,45000.0,3,90.5,"住宅,低总价,绿化率高,人车分流,国央企",402.5,10.714417768752456,5.997695096858618,4.50534985070588
361,北大科技园·国际科创广场,白云,石沙公路81号,待售,18339.0,3,109.0,"写字楼,小型社区,近地铁,地铁沿线,综合商场",337.5,9.816785218696834,5.821565510312585,4.6913478822291435
362,电建地产·洺悦玉府,番禺,禺山西路电建地产·洺悦玉府,待售,18339.0,3,109.0,"商业类,车位充足,国央企,品牌房企,公交直达",337.5,9.816785218696834,5.821565510312585,4.6913478822291435
363,星河湾萝峰,黄埔,广东省广州市黄埔区萝岗路与启学路交叉口北200米,在售,38000.0,4,197.5,"住宅,车位充足,绿化率高,品牌房企,入户花园",1015.0,10.545341438708522,6.922643891475888,5.285738584341177
364,越秀国际总部广场,南沙,金隆路越秀国际总部广场,待售,18339.0,3,109.0,"写字楼,人车分流,大型社区,国央企,品牌房企",337.5,9.816785218696834,5.821565510312585,4.6913478822291435
365,旭辉曜玥湾,南沙,国际金融岛横沥大道旁,待售,18339.0,3,109.0,"商业类,车位充足,大型社区,品牌房企,地铁沿线",337.5,9.816785218696834,5.821565510312585,4.6913478822291435
366,中国铁建西派澜岸,南沙,长沙村西街中国铁建西派澜岸,待售,18339.0,3,109.0,"商业类,人车分流,封闭管理,国央企,品牌房企",337.5,9.816785218696834,5.821565510312585,4.6913478822291435
367,星河江堤春晓,南沙,广东省广州市南沙区凤凰大道横沥东路10号,待售,18339.0,3,109.0,"商业类,车位充足,人车分流,品牌房企,近地铁",337.5,9.816785218696834,5.821565510312585,4.6913478822291435
368,新鸿基地产峻銮,番禺,广东省广州市番禺区韦涌路,在售,45000.0,3,115.0,"住宅,车位充足,绿化率高,品牌房企,近地铁",593.0,10.714417768752456,6.385194398997725,4.74493212836325
369,卓粤广场,增城,新塘大道东卓粤广场,待售,18339.0,3,109.0,"写字楼,小型社区,公交直达,综合商场,超市",337.5,9.816785218696834,5.821565510312585,4.6913478822291435
370,富丰华庭,增城,朱村大道西富丰华庭,在售,16000.0,2,103.5,"住宅,车位充足,人车分流,近地铁,地铁沿线",165.0,9.680344001221918,5.10594547390058,4.639571612705423
371,升龙·学府上城,黄埔,九龙大道,待售,18339.0,3,109.0,"商业类,绿化率高,小型社区,品牌房企,近地铁",337.5,9.816785218696834,5.821565510312585,4.6913478822291435
372,长岭雅居,黄埔,长贤路长岭雅居,在售,18339.0,3,109.0,"住宅,车位充足,绿化率高,国央企,品牌房企",337.5,9.816785218696834,5.821565510312585,4.6913478822291435
373,珠实·嘉悦湾,白云,广东省广州市白云区同嘉路34号,在售,38000.0,4,100.5,"住宅,车位充足,人车分流,国央企,品牌房企",385.0,10.545341438708522,5.953243334287784,4.61015772749913
374,国化广场,白云,广东省广州市白云区云城北二路116号,待售,18339.0,3,109.0,"写字楼,车位充足,人车分流,国央企,品牌房企",337.5,9.816785218696834,5.821565510312585,4.6913478822291435
375,白鹅潭悦府,荔湾,广东省广州市荔湾区长堤街133号,在售,100000.0,3,189.0,"住宅,车位充足,人车分流,国央企,品牌房企",1500.0,11.512925464970229,7.313220387090301,5.241747015059643
376,宏鼎广场,白云,云城西路宏鼎广场,待售,18339.0,3,109.0,"写字楼,小型社区,品牌房企,近地铁,地铁沿线",337.5,9.816785218696834,5.821565510312585,4.6913478822291435
377,君超中心,天河,黄埔大道中君超中心,待售,18339.0,3,109.0,"写字楼,人车分流,小型社区,近地铁,多轨交汇",337.5,9.816785218696834,5.821565510312585,4.6913478822291435
378,星晴雅筑,番禺,市桥街光明北路儿童公园路口西侧,在售,31000.0,2,91.0,"住宅,低单价,低总价,人车分流,小型社区",282.0,10.341742483467282,5.641907070938114,4.51085950651685
379,世纪金源天河源筑,天河,东莞庄路世纪金源天河源筑,在售,61888.0,3,137.5,"住宅,车位充足,绿化率高,品牌房企,地铁沿线",987.5,11.033081578812967,6.895176496775277,4.923623917106625
380,茗筑水岸,南沙,庙南路茗筑水岸,在售,18339.0,3,109.0,"住宅,人车分流,封闭管理,国央企,公交直达",337.5,9.816785218696834,5.821565510312585,4.6913478822291435
381,龙湖金地天峯,番禺,傍雁路龙湖金地天峯,在售,80000.0,3,109.0,"商业,低总价,人车分流,大型社区,品牌房企",150.0,11.289781913656018,5.0106352940962555,4.6913478822291435
382,耀胜新世界广场,番禺,汉兴西路耀胜新世界广场,待售,18339.0,3,109.0,"写字楼,小型社区,品牌房企,近地铁,多轨交汇",337.5,9.816785218696834,5.821565510312585,4.6913478822291435
383,侨银大厦,荔湾,东漖大桥侨银大厦,待售,18339.0,3,109.0,"写字楼,小型社区,地铁沿线,公交直达,超市",337.5,9.816785218696834,5.821565510312585,4.6913478822291435
384,汉国置业港汇台,越秀,沿江中路港汇华庭二期,在售,100000.0,2,106.5,"住宅,车位充足,人车分流,近地铁,地铁沿线",1215.0,11.512925464970229,7.102499355774649,4.66814498514948
385,越秀滨海花城,南沙,广澳高速越秀滨海花城,在售,15000.0,3,86.0,"住宅,低单价,低总价,车位充足,人车分流",115.5,9.615805480084347,4.749270529961848,4.454347296253507
386,广州城投东园公馆,越秀,越秀南路广州城投东园公馆,在售,130000.0,3,134.5,"住宅,车位充足,人车分流,国央企,品牌房企",1550.0,11.77528972943772,7.346010209913292,4.901564199041894
387,中国铁建翰林新语,增城,乌石大道中国铁建翰林新语,在售,18000.0,2,83.5,"住宅,车位充足,人车分流,国央企,品牌房企",155.0,9.798127036878302,5.043425116919247,4.42484663185681
388,联投·文津府,天河,执信三路联投·文津府,在售,65000.0,3,138.0,"住宅,车位充足,绿化率高,国央企,品牌房企",917.5,11.082142548877775,6.821652579928725,4.927253685157204
389,万科·理想花地·瑧园,荔湾,广东省广州市荔湾区东漖北路191号,在售,54000.0,3,148.0,"住宅,车位充足,人车分流,国央企,品牌房企",805.0,10.896739325546411,6.690842277418563,4.997212273764115
390,万科·理想花地·朗庭,荔湾,广东省广州市荔湾区花地大道北385号,在售,47000.0,2,103.5,"住宅,人车分流,封闭管理,国央企,品牌房企",467.5,10.757902880692196,6.147399348728741,4.639571612705423
391,智联花园,番禺,石楼镇智睿大街4号,在售,30000.0,3,109.0,"底商,车位充足,人车分流,国央企,品牌房企",3000.0,10.308952660644293,8.006367567650246,4.6913478822291435
392,富豪山庄·领峰,番禺,番禺区东环街市广路232号富豪大厦,在售,30000.0,1,80.0,"住宅,低单价,低总价,车位充足,低密居所",240.0,10.308952660644293,5.480638923341991,4.382026634673881
393,仟信广场,从化,仟信街12号,在售,9000.0,1,51.0,"商业类,低单价,低总价,车位充足,绿化率高",69.0,9.104979856318357,4.23410650459726,3.9318256327243257
394,万科·瑧山府,白云,广东省广州市白云区白云大道788号,在售,70000.0,2,151.5,"住宅,车位充足,人车分流,国央企,品牌房企",1245.0,11.156250521031495,7.126890808898808,5.020585624949423
395,中建天河精诚壹号,天河,广东省广州市天河区长兴街道华观路以北，高唐路以西,在售,60000.0,2,98.0,"住宅,绿化率高,人车分流,国央企,品牌房企",622.5,11.002099841204238,6.4337436283388625,4.584967478670571
396,鹏瑞1号,天河,黄埔大道东鹏瑞金融城,在售,18339.0,3,109.0,"商业类,车位充足,人车分流,品牌房企,近地铁",337.5,9.816785218696834,5.821565510312585,4.6913478822291435
397,保利四季和颂,海珠,广东省广州市海珠区广州大道南788号,在售,90000.0,3,124.0,"住宅,车位充足,绿化率高,国央企,品牌房企",940.0,11.407564949312402,6.84587987526405,4.820281565605037
398,中国铁建西派粤府,海珠,南天路中国铁建西派粤府,在售,65000.0,4,130.0,"住宅,车位充足,绿化率高,国央企,品牌房企",990.0,11.082142548877775,6.897704943128636,4.867534450455582
399,越秀珠实城发江湾和樾,海珠,广东省广州市海珠区昌岗西路,在售,75000.0,4,147.5,"住宅,车位充足,大型社区,国央企,品牌房企",1225.0,11.225243392518447,7.110696122978827,4.993828175779875
400,空港国际·科技谷,花都,凤祥路空港国际·科技谷,待售,18339.0,3,109.0,"写字楼,小型社区,公交直达,超市,公园",337.5,9.816785218696834,5.821565510312585,4.6913478822291435
401,云庐,白云,白云大道北云庐,在售,55000.0,4,150.0,"住宅,车位充足,绿化率高,国央企,品牌房企",875.0,10.915088464214607,6.774223886357614,5.0106352940962555
402,品秀星图,增城,广州地铁13号线官湖车辆段（官湖站B出口）,在售,36000.0,3,109.0,"商业,车位充足,人车分流,国央企,品牌房企",337.5,10.491274217438246,5.821565510312585,4.6913478822291435
403,琶洲樾,海珠,新港东路琶洲樾,待售,18339.0,3,109.0,"住宅,小型社区,国央企,品牌房企,近地铁",337.5,9.816785218696834,5.821565510312585,4.6913478822291435
404,保利·天瑞,天河,广园快速路保利·天瑞,在售,80000.0,3,187.5,"住宅,车位充足,绿化率高,国央企,品牌房企",1695.0,11.289781913656018,7.43543801981455,5.233778845410465
405,珠江国际城,从化,广从南路珠江壹城,在售,19000.0,1,39.5,"底商,人车分流,大型社区,品牌房企,近地铁",110.0,9.852194258148577,4.700480365792416,3.676300671907076
406,保利锦上印,荔湾,东漖街保利锦上印,在售,54000.0,2,107.0,"住宅,绿化率高,人车分流,国央企,品牌房企",615.0,10.896739325546411,6.421622267806518,4.672828834461906
407,品秀·星瀚,番禺,大榄地路品秀·星瀚,在售,30000.0,3,109.0,"底商,低总价,车位充足,人车分流,国央企",80.0,10.308952660644293,4.382026634673881,4.6913478822291435
408,星河·盛世锦城,番禺,广东省广州市番禺区陈地路44号,在售,37000.0,3,117.0,"住宅,绿色建筑,车位充足,品牌房企,近地铁",405.5,10.51867319162636,6.005120873555468,4.762173934797756
409,科城·新世代,黄埔,四横路科城·新世代,待售,18339.0,3,109.0,"住宅,小型社区,近地铁,地铁沿线,超市",337.5,9.816785218696834,5.821565510312585,4.6913478822291435
410,丰盛101,增城,民营西一路丰盛101,待售,18339.0,3,109.0,"写字楼,小型社区,品牌房企,地铁沿线,公交直达",337.5,9.816785218696834,5.821565510312585,4.6913478822291435
411,龙湖御湖境,番禺,迎宾路龙湖御湖境,在售,46000.0,4,160.5,"住宅,车位充足,绿化率高,品牌房企,地铁沿线",715.0,10.736396675471232,6.5722825426940075,5.07829394257007
412,珠实·西关都荟,荔湾,荔湾区南岸路26号,在售,70000.0,4,115.5,"住宅,人车分流,小型社区,国央企,品牌房企",840.0,11.156250521031495,6.733401891837359,4.749270529961848
413,正升星荟,白云,石沙公路正升星荟,待售,18339.0,3,109.0,"商业类,小型社区,品牌房企,近地铁,地铁沿线",337.5,9.816785218696834,5.821565510312585,4.6913478822291435
414,珠江右岸,白云,广海路珠江右岸,待售,18339.0,3,109.0,"住宅,小型社区,国央企,品牌房企,超市",337.5,9.816785218696834,5.821565510312585,4.6913478822291435
415,保利锦上,黄埔,隧南路保利锦上,在售,35000.0,3,79.0,"底商,车位充足,人车分流,国央企,品牌房企",190.0,10.46310334047155,5.247024072160486,4.3694478524670215
416,光大ONE+,增城,香山大道与创盈路交汇处,待售,18339.0,3,109.0,"写字楼,大型社区,品牌房企,公交直达,超市",337.5,9.816785218696834,5.821565510312585,4.6913478822291435
417,广汇新世界金融中心,增城,广东省广州市增城区凤凰北一路64号,待售,18339.0,3,109.0,"写字楼,小型社区,近地铁,地铁沿线,超市",337.5,9.816785218696834,5.821565510312585,4.6913478822291435
418,广州地铁地产珑璟台,海珠,龙潭东环街广州地铁地产·珑璟台,在售,95000.0,3,157.5,"住宅,人车分流,小型社区,国央企,品牌房企",1450.0,11.461632170582677,7.27931883541462,5.059425458265688
419,万科瑧樾府,越秀,东濠涌高架路万科·瑧樾府,在售,90000.0,3,143.5,"住宅,小型社区,封闭管理,国央企,品牌房企",1375.0,11.407564949312402,7.226209010100671,4.966335035199676
420,广建·云城学府,白云,广州市白云区广建·云城学府,待售,18339.0,3,109.0,"住宅,绿化率高,大型社区,国央企,品牌房企",337.5,9.816785218696834,5.821565510312585,4.6913478822291435
421,长隆万博悦府,番禺,汉溪大道东长隆万博悦府,在售,65000.0,4,204.0,"住宅,车位充足,绿化率高,国央企,品牌房企",1465.0,11.082142548877775,7.289610521451167,5.318119993844216
422,粤海壹桂府,越秀,北京路粤海壹桂府,待售,18339.0,3,109.0,"商业,国央企,品牌房企,近地铁,地铁沿线",337.5,9.816785218696834,5.821565510312585,4.6913478822291435
423,广州之窗商务港,海珠,振兴大街,待售,18339.0,3,109.0,"写字楼,大型社区,国央企,品牌房企,近地铁",337.5,9.816785218696834,5.821565510312585,4.6913478822291435
424,亿凯创智汇,白云,北太路亿凯创智汇,待售,18339.0,3,109.0,"商业,小型社区,地铁沿线,公交直达,综合商场",337.5,9.816785218696834,5.821565510312585,4.6913478822291435
425,晓庐,海珠,新港东路晓庐,待售,18339.0,3,109.0,"酒店式公寓,小型社区,近地铁,地铁沿线,超市",337.5,9.816785218696834,5.821565510312585,4.6913478822291435
426,东基天河阳光,天河,大观街东基·天河阳光,在售,38000.0,3,109.0,"商业,低总价,人车分流,小型社区,品牌房企",120.0,10.545341438708522,4.787491742782046,4.6913478822291435
